name,altitude,ascent_count,rating,region,report_count,rating_count,bb_count,hotel_count,hostel_count,cottage_count,camping_count,island,county,latitude,longitude,neighbor_count_0_1,neighbor_count_1_2.5,neighbor_count_2.5_5,neighbor_count_5_10,neighbor_count_10_15,neighbor_count_15_20,nearest_city_dist,nearest_city_population,population_0_25,population_25_50,population_50_75,population_75_100,beginner_friendly,national_park
Ben Nevis,1345,17902,3.84,Fort William,316,253,72,41,18,147,147,,Highland,56.796891,-5.003675,0,0,3,10,3,8,6.68,10459,10459,0,8575,223189,0,
Ben Macdui,1309,10449,3.78,Cairngorms,215,162,37,29,9,182,182,,Aberdeenshire/Moray,57.070368,-3.669099,0,0,6,6,2,2,56.26,70000,0,0,158093,604889,0,Cairngorms
Braeriach,1296,6035,3.95,Cairngorms,141,94,37,29,9,182,182,,Aberdeenshire/Highland,57.078307,-3.728373,0,0,1,8,3,3,53.49,70000,0,0,150894,612088,0,Cairngorms
Cairn Toul,1291,5121,3.86,Cairngorms,136,83,37,29,9,182,182,,Aberdeenshire,57.054406,-3.710774,0,1,3,7,3,2,56.3,70000,0,0,205053,566929,0,Cairngorms
Sgor an Lochain Uaine,1258,4832,3.83,Cairngorms,139,79,37,29,9,182,182,,Aberdeenshire,57.058367,-3.725896,0,1,3,6,4,1,55.43,70000,0,0,158093,613889,0,Cairngorms
Cairn Gorm,1245,12258,3.19,Cairngorms,205,158,37,29,9,182,182,,Highland/Moray,57.116714,-3.644477,0,0,2,8,3,0,53.14,70000,0,0,178479,572442,1,Cairngorms
Aonach Beag (Nevis Range),1234,4216,3.67,Fort William,81,73,72,41,18,147,147,,Highland,56.799998,-4.954121,0,1,4,9,3,8,9.46,10459,10459,0,8575,260999,0,
Aonach Mor,1221,4705,3.45,Fort William,86,73,72,41,18,147,147,,Highland,56.812941,-4.961712,0,1,2,11,2,9,8.77,10459,10459,0,8575,260999,0,
Carn Mor Dearg,1220,6575,3.92,Fort William,164,97,72,41,18,147,147,,Highland,56.805246,-4.986616,0,2,0,13,3,7,7.4,10459,10459,0,8575,223189,0,
Ben Lawers,1214,16070,3.81,Perthshire,255,231,58,71,5,96,96,,Perth and Kinross,56.544922,-4.22086,0,3,1,1,3,4,29.9,7368,0,23130,674393,2747094,0,
Beinn a'Bhuird,1197,3828,3.68,Cairngorms,77,67,37,29,9,182,182,,Aberdeenshire/Moray,57.08759,-3.499366,0,0,2,3,5,4,55.37,6061,0,0,184729,577654,0,Cairngorms
Carn Eige,1183,2550,3.63,Loch Ness,68,44,69,55,11,97,97,,Highland,57.287701,-5.115159,0,0,2,5,9,14,52.03,10459,0,0,92314,30935,0,
Beinn Mheadhoin,1182,4463,4.02,Cairngorms,105,82,37,29,9,182,182,,Moray,57.095849,-3.611464,0,0,3,6,3,1,56.2,70000,0,0,164896,607946,0,Cairngorms
Mam Sodhail,1181,2679,3.56,Loch Ness,69,39,69,55,11,97,97,,Highland,57.279801,-5.120267,0,0,3,5,10,13,51.16,10459,0,0,92314,30935,0,
Stob Choire Claurigh,1177,3613,3.56,Fort William,83,50,72,41,18,147,147,,Highland,56.823786,-4.849624,0,0,2,8,7,10,15.56,10459,10459,0,8575,315311,0,
Ben More,1174,9700,3.72,Loch Lomond,160,154,33,35,7,54,54,,Stirling,56.385952,-4.540087,0,0,0,6,3,7,41.89,9000,0,110341,2039523,1381433,0,Loch Lomond and The Trossachs
Ben Avon,1171,3753,3.86,Cairngorms,89,79,37,29,9,182,182,,Aberdeenshire/Moray,57.099347,-3.434438,0,0,0,1,4,7,54.48,6061,0,0,196684,565699,0,Cairngorms
Stob Binnein,1165,8883,3.87,Loch Lomond,156,118,33,35,7,54,54,,Stirling,56.370717,-4.535753,0,0,1,4,3,8,40.78,9000,0,205645,1982097,1343555,0,Loch Lomond and The Trossachs
Beinn Bhrotain,1157,3223,3.51,Cairngorms,83,65,37,29,9,182,182,,Aberdeenshire,57.009868,-3.723797,0,0,1,8,4,9,57.84,6061,0,0,181556,668587,0,Cairngorms
Derry Cairngorm,1155,5207,3.42,Cairngorms,123,78,37,29,9,182,182,,Aberdeenshire,57.062801,-3.622004,0,0,4,8,2,4,57.63,6061,0,0,198508,621574,0,Cairngorms
Lochnagar,1155,11183,4.16,Cairngorms,212,186,37,29,9,182,182,,Aberdeenshire,56.960272,-3.245261,0,0,2,3,5,4,35.51,6061,0,34868,563864,400143,0,Cairngorms
Sgurr nan Ceathreamhnan,1151,2043,4.02,Loch Ness,56,50,69,55,11,97,97,,Highland,57.254911,-5.222732,0,0,2,10,14,9,48.9,10459,0,10459,76545,23658,0,
Bidean nam Bian,1150,7845,4.32,Fort William,146,144,72,41,18,147,147,,Highland,56.642768,-5.029335,0,0,5,2,19,5,20.22,10459,10459,8575,15430,1462075,0,
Sgurr na Lapaich,1150,2383,3.75,Loch Ness,51,35,69,55,11,97,97,,Highland,57.369311,-5.059726,0,0,0,4,11,4,45.46,6545,0,6545,85769,22360,0,
Ben Alder,1148,3081,3.88,Cairngorms,73,58,37,29,9,182,182,,Highland,56.813796,-4.465089,0,0,3,5,5,7,38.96,10459,0,10459,7368,646292,0,Cairngorms
Geal-charn (Alder),1132,2789,3.49,Cairngorms,71,39,37,29,9,182,182,,Highland,56.837836,-4.509694,0,1,2,5,8,4,36.29,10459,0,10459,77368,299424,0,Cairngorms
